epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3940.98,0.76235,0.36474,0.81254,0.98065,0.9853,0.98077,0.78921,0.6998,0.35448,0.80668,0.0004556,0.0004556,0.0004556
80,3984.75,0.75603,0.36127,0.80731,0.97873,0.98471,0.98418,0.78028,0.70404,0.35466,0.80634,0.0004358,0.0004358,0.0004358
81,4028.13,0.76223,0.36834,0.80991,0.97725,0.98491,0.98269,0.78818,0.70384,0.35527,0.80625,0.000416,0.000416,0.000416
82,4071.57,0.75418,0.35955,0.80798,0.98064,0.98285,0.98405,0.79032,0.69739,0.35005,0.80582,0.0003962,0.0003962,0.0003962
83,4115.1,0.76321,0.371,0.81106,0.97989,0.98178,0.9839,0.78809,0.69877,0.35446,0.80616,0.0003764,0.0003764,0.0003764
84,4158.65,0.75197,0.36541,0.80865,0.97893,0.98331,0.98212,0.78674,0.69723,0.34858,0.80599,0.0003566,0.0003566,0.0003566
85,4202.38,0.7512,0.3647,0.81212,0.97992,0.98236,0.98206,0.78607,0.69451,0.349,0.80533,0.0003368,0.0003368,0.0003368
86,4245.94,0.75032,0.36457,0.81045,0.97946,0.98139,0.9852,0.79208,0.69656,0.34417,0.80676,0.000317,0.000317,0.000317
87,4289.71,0.75676,0.35661,0.80705,0.9778,0.98418,0.98516,0.79147,0.69119,0.34659,0.80541,0.0002972,0.0002972,0.0002972
88,4333.23,0.76184,0.36886,0.81043,0.98009,0.98393,0.98413,0.79002,0.69777,0.34398,0.80667,0.0002774,0.0002774,0.0002774
89,4376.9,0.74202,0.35554,0.80879,0.981,0.98295,0.98456,0.79202,0.69332,0.34356,0.80582,0.0002576,0.0002576,0.0002576
90,4420.61,0.73523,0.35778,0.8127,0.97813,0.98413,0.98476,0.79518,0.69108,0.34707,0.80489,0.0002378,0.0002378,0.0002378
91,4465.44,0.71601,0.33215,0.80534,0.97552,0.98411,0.98386,0.79146,0.69139,0.34594,0.80567,0.000218,0.000218,0.000218
92,4508.44,0.71347,0.33101,0.80578,0.97607,0.98305,0.98388,0.78738,0.69275,0.34523,0.80569,0.0001982,0.0001982,0.0001982
93,4551.45,0.71284,0.32708,0.8045,0.97845,0.9806,0.98409,0.7933,0.68495,0.34454,0.80472,0.0001784,0.0001784,0.0001784
94,4594.63,0.70701,0.32734,0.80611,0.97673,0.98471,0.9828,0.79101,0.68842,0.34227,0.8051,0.0001586,0.0001586,0.0001586
95,4637.83,0.70673,0.32805,0.80509,0.98061,0.98108,0.98422,0.79234,0.68481,0.3398,0.80441,0.0001388,0.0001388,0.0001388
96,4681.24,0.70734,0.33166,0.80392,0.97987,0.9806,0.985,0.79286,0.68468,0.33974,0.80493,0.000119,0.000119,0.000119
97,4724.4,0.69807,0.32541,0.8052,0.97836,0.98332,0.98306,0.79383,0.67845,0.34002,0.80368,9.92e-05,9.92e-05,9.92e-05
98,4767.71,0.70044,0.32988,0.80489,0.97766,0.98354,0.98519,0.79736,0.67784,0.33833,0.80417,7.94e-05,7.94e-05,7.94e-05
99,4811.11,0.69764,0.32169,0.80839,0.97731,0.98119,0.9848,0.79669,0.67877,0.3385,0.80439,5.96e-05,5.96e-05,5.96e-05
100,4854.34,0.69449,0.31934,0.80503,0.97716,0.98104,0.98451,0.79671,0.67738,0.33532,0.8039,3.98e-05,3.98e-05,3.98e-05
